name,citations,h-index,i10-index,citations_2000,citations_2001,citations_2002,citations_2003,citations_2004,citations_2005,citations_2006,citations_2007,citations_2008,citations_2009,citations_2010,citations_2011,citations_2012,citations_2013,citations_2014,citations_2015,citations_2016,citations_2017,citations_2018,citations_2019,citations_2020,citations_2021,citations_2022,citations_2023,citations_2024,citations_1999,citations_1985,citations_1986,citations_1987,citations_1988,citations_1989,citations_1990,citations_1991,citations_1992,citations_1993,citations_1994,citations_1995,citations_1996,citations_1997,citations_1998
Kimron Shapiro,15112,47,90,245.0,379.0,323.0,328.0,386.0,496.0,646.0,688.0,620.0,754.0,620.0,693.0,722.0,664.0,739.0,741.0,759.0,653,576,631,581,637,621,585,128,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,63.0,68.0,134.0,132.0
Massimiliano Di Luca,2620,27,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,35.0,62.0,74.0,118.0,125.0,125.0,179.0,151,238,214,267,287,306,344,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matthew Apps,6127,36,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,53.0,91.0,152.0,266,534,547,686,1048,1187,1210,246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barbara Pomiechowska,447,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,11.0,29,22,36,35,64,106,117,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hyojin Park,1025,11,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,16.0,30.0,44.0,91,114,120,153,117,147,127,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ali mazaheri,7872,34,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,92.0,152.0,210.0,266.0,422.0,475.0,490.0,521,695,765,767,871,882,942,187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rickson C. Mesquita,2782,27,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,42.0,70.0,114.0,182.0,145.0,172.0,175,216,220,279,289,345,399,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Katja Kornysheva,1026,11,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,19.0,33.0,27.0,50.0,89,110,112,124,126,125,142,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Katrien Segaert,2705,24,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,115.0,105.0,59.0,102.0,268,166,228,347,334,340,475,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Samuel J E Lucas,7405,41,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,78.0,179.0,191.0,276.0,335.0,364.0,486.0,553,526,581,688,958,943,846,190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrea Krott,1866,23,41,0.0,10.0,23.0,27.0,35.0,25.0,33.0,60.0,44.0,53.0,66.0,51.0,67.0,90.0,74.0,55.0,85.0,92,105,124,118,173,150,208,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
